mode,sigma,yg,n,eta_peak_mean,eta_peak_std,jc_ratio_mean,jc_ratio_std,jd_ratio_mean,jd_ratio_std,Deta_int_mean,Deta_int_std,Deta_err_mean,Deta_err_std,eff_curl_mean,eff_curl_std,eff_div_mean,eff_div_std
match,1.2,0.0,6,0.011999999999999999,1.734723475976807e-18,0.4079130186019799,0.06735972562538174,0.7688860508531908,0.02878006312565545,0.0031582022287266584,7.456971971303462e-05,0.0,0.0,187.99930848027577,25.417262564807135,73.10969694802402,8.456381927399379
match,1.2,1.0,6,0.01071875,1.734723475976807e-18,0.4177990523032433,0.06420638287558013,0.7740089536712625,0.027891285180439433,0.003234176095297242,7.207932179270049e-05,7.597386657058338e-05,3.0139768408500472e-06,180.47552479795345,23.572942927164206,69.80876236030838,8.000828061595078
match,1.2,2.0,6,0.008781250000000003,1.734723475976807e-18,0.43936956033158364,0.05902068874273911,0.7812252384930485,0.024439356657369113,0.0031960667202391418,7.027641792211467e-05,3.786449151248343e-05,6.931442742131541e-06,175.84192936149876,22.074222167688387,68.3928397701551,7.026317964366803
match,1.2,3.0,6,0.009427083333333334,0.00022833656475815617,0.42074940262658433,0.05556189902719579,0.7657090699833745,0.0236608508897264,0.0031778984628027473,0.00011289008499978591,1.969623407608899e-05,4.8818909541650206e-05,182.9323536822302,22.844900274421118,73.64172338361332,6.138369952637166
match,1.2,4.0,6,0.014593750000000003,0.0,0.3379562343894085,0.050522321815089255,0.7369080123164115,0.024095064028624495,0.0031730671906172064,5.866982657840269e-05,1.4864961890547892e-05,1.9155659085759194e-05,208.97566910319128,19.58271001057619,82.8896764369403,7.275842932043087
match,1.2,5.0,6,0.029447916666666667,0.0007220636177343065,0.23690633304568057,0.03550899331813496,0.6904463864752897,0.045178130336657275,0.003148749775626071,7.09233395919104e-05,-9.452453100587213e-06,2.3066112651500255e-05,242.57842822733735,14.596969654880878,98.50514937099756,15.564068656684723
match,1.2,6.0,6,0.04979166666666667,0.0028882544709372287,0.19632090073633626,0.02964984703266166,0.636347936838232,0.06490994858452728,0.0031163992701223157,0.00010334699666557963,-4.180295860434275e-05,5.1157740292084515e-05,258.2105668142402,13.748355799276325,117.20585333517124,23.199221701001715
match,1.2,7.0,6,0.03752083333333334,0.001444127235468613,0.20202182813090172,0.02299895426107747,0.6147120134354797,0.07050947020023124,0.003178106245512073,7.971686150249751e-05,1.9904016785414263e-05,3.155637503850625e-05,251.26651529034302,10.265405183301587,121.65194752615042,24.20382419775517
match,1.2,8.0,6,0.01653125,0.00096875,0.2334631213938189,0.018079287812644423,0.6080197060885446,0.06361881118000963,0.0031546070915253153,0.00013287300446448205,-3.5951372013432134e-06,7.414118409831539e-05,243.44613709985094,12.311294506594903,125.08574705832034,24.593704738186254
match,1.2,9.0,6,0.007812500000000002,0.0,0.34710301804255406,0.03616238899427754,0.6335482046055422,0.03842518673415561,0.0031609018541584074,6.788487930170206e-05,2.6996254317487403e-06,9.470729024217646e-06,206.8429815724971,15.285336507223514,116.0290235464664,13.103900721867808
match,1.2,10.0,6,0.004502604166666667,0.00018051590443357693,0.5080381224181397,0.058441511930685926,0.6833885882927757,0.02764951759672749,0.003111974964511207,0.00012516423455791442,-4.622726421545127e-05,5.974674406759398e-05,158.7956159480486,23.388896126302175,101.65108226209982,6.507436449468576
match,1.2,11.0,6,0.003453125,0.0,0.5944121394415969,0.07056222176756345,0.7275934148211519,0.021699398971988096,0.003173955388718922,5.708245432106719e-05,1.575315999226315e-05,2.887601661783436e-05,128.1893249021833,24.466150815889474,85.82443341176156,6.547133892146331
