mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
fixed,OFF,OFF,0.0,0.0,1.2,1,0.02,7.2,6.75,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,1,0.02,8.3,7.45,0.3348272024400678,0.7952176474975106,0.0030718128514116857,nan,nan,216.54079520314679,66.66498332031505,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,1,0.02,8.3,7.45,0.3348272024400678,0.7952176474975106,0.0030718128514116857,0.0030718128514116857,0.0,216.54079520314679,66.66498332031505,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,1,0.02,8.3,7.45,0.34871744921921316,0.8009530820026293,0.0031511782541121325,0.0030718128514116857,7.936540270044685e-05,206.67905724815637,63.16587065096184,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,1,0.02,8.3,7.45,0.3774346704114024,0.8082406918338256,0.0031161951558254437,0.0030718128514116857,4.438230441375802e-05,199.78380635910054,61.53636039376345,12.0
match,RUN,match_yg3_sig1.2_ep0.00926563,0.009265625000000001,3.0,1.2,1,0.02,8.3,7.7,0.36452144760994354,0.8019231713728882,0.003057054739718773,0.0030718128514116857,-1.4758111692912863e-05,207.87280781518356,64.79335356792907,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,1,0.02,8.75,7.7,0.28431326833295434,0.7880895820344939,0.0031077161277865543,0.0030718128514116857,3.590327637486863e-05,230.29347026518403,68.1884732234014,12.0
match,RUN,match_yg5_sig1.2_ep0.029125,0.029125,5.0,1.2,1,0.02,8.9,8.15,0.2026860863149383,0.7278337552897755,0.003089135426791049,0.0030718128514116857,1.732257537936325e-05,258.10260915407656,88.10434218902053,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,1,0.02,9.200000000000001,8.25,0.1692508380020417,0.6457614077998416,0.003045254263294587,0.0030718128514116857,-2.6558588117098735e-05,272.80124750541876,116.32479969568001,12.0
match,RUN,match_yg7_sig1.2_ep0.036875,0.036875000000000005,7.0,1.2,1,0.02,9.200000000000001,8.35,0.18104404009813949,0.6079603027440342,0.003114496771169325,0.0030718128514116857,4.2683919757639365e-05,262.9496898127741,125.87577578665335,12.0
match,RUN,match_yg8_sig1.2_ep0.0155625,0.015562500000000002,8.0,1.2,1,0.02,8.9,8.35,0.22598769521251674,0.6137817780612201,0.0030025545675317258,0.0030718128514116857,-6.92582838799599e-05,257.78459221267923,128.62987607791376,12.0
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,1,0.02,8.75,8.25,0.32581351498156846,0.6802646924593565,0.0030763957855173534,0.0030718128514116857,4.582934105667753e-06,219.14816298744037,103.93178571035978,12.0
match,RUN,match_yg10_sig1.2_ep0.00442188,0.0044218750000000005,10.0,1.2,1,0.02,8.3,8.15,0.4720378628247375,0.7155749807632527,0.0029901906624521138,0.0030718128514116857,-8.162218895957189e-05,176.56470666064678,95.11935904565492,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,1,0.02,8.3,8.0,0.5481465711638327,0.734936802775677,0.0030884770254927738,0.0030718128514116857,1.6664174081088088e-05,146.3029917679485,85.82326986292915,12.0
fixed,OFF,OFF,0.0,0.0,1.2,1,0.03,7.2,6.65,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,1,0.03,8.6,7.55,0.29842542103529984,0.8115613279355433,0.0030651707172759564,nan,nan,228.8859719983869,61.477382320787605,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,1,0.03,8.6,7.55,0.29842542103529984,0.8115613279355433,0.0030651707172759564,0.0030651707172759564,0.0,228.8859719983869,61.477382320787605,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,1,0.03,8.6,7.45,0.3127372530752832,0.8148198917797647,0.003142997338031223,0.0030651707172759564,7.782662075526666e-05,218.66475628490952,58.91831532260615,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,1,0.03,8.6,7.45,0.34135387056431776,0.8144394892486183,0.003104787485220087,0.0030651707172759564,3.9616767944130726e-05,212.13887667709187,59.765929756776245,12.0
match,RUN,match_yg3_sig1.2_ep0.00926563,0.009265625000000001,3.0,1.2,1,0.03,8.6,7.7,0.32859829258414786,0.7913376698767897,0.0030420983293455,0.0030651707172759564,-2.307238793045627e-05,220.70348645183424,68.59157973638003,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,1,0.03,8.9,7.7,0.25434628015859295,0.7252951525409255,0.0030929167702754452,0.0030651707172759564,2.7746052999488846e-05,241.08431465325253,88.81740695356966,12.0
match,RUN,match_yg5_sig1.2_ep0.029125,0.029125,5.0,1.2,1,0.03,9.200000000000001,8.15,0.17956599240088078,0.6107066326771539,0.003077637825665369,0.0030651707172759564,1.246710838941241e-05,266.5791279133846,126.49096137187065,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,1,0.03,9.35,8.3,0.15056139698025017,0.515910429822282,0.003036340949942863,0.0030651707172759564,-2.8829767333093514e-05,279.75731876742447,159.4318879725373,12.0
match,RUN,match_yg7_sig1.2_ep0.036875,0.036875000000000005,7.0,1.2,1,0.03,9.200000000000001,8.6,0.1716534816909641,0.48188073383591523,0.0031104837102401595,0.0030651707172759564,4.531299296420309e-05,266.30794290354265,166.5719272080936,12.0
match,RUN,match_yg8_sig1.2_ep0.0155625,0.015562500000000002,8.0,1.2,1,0.03,8.9,8.6,0.21521175688802124,0.47904806096140873,0.0030025626379040025,0.0030651707172759564,-6.260807937195391e-05,261.3728130780364,173.50243837119478,12.0
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,1,0.03,8.75,8.45,0.2844661527727636,0.5550142361191879,0.0030791625335011823,0.0030651707172759564,1.3991816225225953e-05,232.37936920907964,144.51519172482205,12.0
match,RUN,match_yg10_sig1.2_ep0.00442188,0.0044218750000000005,10.0,1.2,1,0.03,8.45,8.2,0.4037349306773563,0.6720755986395973,0.0030018322345438083,0.0030651707172759564,-6.333848273214811e-05,198.63370859339804,109.24141515531353,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,1,0.03,8.3,8.15,0.47165781376346816,0.7318907432555418,0.003107866322778972,0.0030651707172759564,4.2695605503015495e-05,170.00158030095136,86.26795006572934,12.0
fixed,OFF,OFF,0.0,0.0,1.2,2,0.02,5.8500000000000005,5.7,1.0,1.0,0.0,nan,nan,nan,nan,12.0
