a,L,Ra,RL,|R|,Ia,IL,dEda,dEdL
0.4,2.0,41.48155403340893,1.5363809257975476,41.5099962825315,-44.29642105102539,-1.7642511129379272,2.8148670176164545,0.2278701871403797
0.48333333333333334,2.0,29.341892353841484,1.0038907327910376,29.35906067141463,-32.945648193359375,-1.3447515964508057,3.6037558395178917,0.3408608636597681
0.5666666666666667,2.0,18.9822443169384,0.5843823245175386,18.991237505995986,-23.4447021484375,-1.0641229152679443,4.462457831499101,0.47974059075040576
0.65,2.0,10.736764051728,0.26895359996439205,10.740132137986594,-16.127737045288086,-0.9149174094200134,5.390972993560085,0.6459638094556214
0.7333333333333334,2.0,6.062044118024743,-0.00725688579127759,6.062048461639826,-12.451345443725586,-0.8337280750274658,6.389301325700843,0.8409849608187434
0.8166666666666667,2.0,2.164362363118669,-0.27321099814735184,2.1815381473614672,-9.621805191040039,-0.7930474877357483,7.45744282792137,1.0662584858831001
0.9,2.0,-1.2437076847004338,-0.5475200175178876,1.3588918185660335,-7.35168981552124,-0.7757188081741333,8.595397500221674,1.323238825692021
0.4,2.25,40.12225239842994,0.7687112480631726,40.12961567852621,-43.238712310791016,-0.9965814352035522,3.1164599123610746,0.2278701871403797
0.48333333333333334,2.25,28.17533948164342,0.4066374101897192,28.178273703142644,-32.15617370605469,-0.7474982738494873,3.980834224411266,0.3408608636597681
0.5666666666666667,2.25,18.082707331778977,0.11049720555620435,18.08304493383813,-23.002092361450195,-0.5902377963066101,4.919385029671217,0.47974059075040576
0.65,2.25,9.966838248641299,-0.13538756128667606,9.96775774516668,-15.898950576782227,-0.5105762481689453,5.932112328140927,0.6459638094556214
0.7333333333333334,2.25,5.309367325919349,-0.37131961228892774,5.3223359210040835,-12.328383445739746,-0.4696653485298157,7.019016119820397,0.8409849608187434
0.8166666666666667,2.25,1.3899853061058067,-0.6159320729669167,1.520339261381938,-9.57008171081543,-0.45032641291618347,8.180096404709623,1.0662584858831001
0.9,2.25,-2.079162959114763,-0.8798805831802716,2.2576776676958366,-7.336190223693848,-0.44335824251174927,9.41535318280861,1.323238825692021
0.4,2.5,38.912799701439226,0.6891681939593213,38.91890200665859,-42.33085250854492,-0.9170383810997009,3.4180528071056946,0.2278701871403797
0.48333333333333334,2.5,27.1537794378145,0.3388092913886023,27.15589308959307,-31.51169204711914,-0.6796701550483704,4.357912609304641,0.3408608636597681
0.5666666666666667,2.5,17.290758160950613,0.051111190617849855,17.290833702695963,-22.667070388793945,-0.5308517813682556,5.376312227843332,0.47974059075040576
0.65,2.5,9.262939133176669,-0.1868175482404114,9.264822835935197,-15.736190795898438,-0.45914626121520996,6.473251662721769,0.6459638094556214
0.7333333333333334,2.5,4.598490079102041,-0.41667213084742993,4.6173289543008345,-12.247220993041992,-0.4243128299713135,7.648730913939951,0.8409849608187434
0.8166666666666667,2.5,0.6398744920739023,-0.6571272271569801,0.9171998464227171,-9.542624473571777,-0.40913125872612,8.902749981497875,1.0662584858831001
0.9,2.5,-2.903202275124551,-0.9179011045826306,3.044852358995816,-7.332106590270996,-0.40533772110939026,10.235308865395547,1.323238825692021
0.4,2.75,37.99239806035671,0.2984351903429882,37.99357016574557,-41.71204376220703,-0.5263053774833679,3.7196457018503155,0.2278701871403797
0.48333333333333334,2.75,26.33021171881468,0.05001554873189451,26.330259222284933,-31.065202713012695,-0.3908764123916626,4.734990994198016,0.3408608636597681
0.5666666666666667,2.75,16.607772002817562,-0.1730252811305022,16.608673295765715,-22.441011428833008,-0.30671530961990356,5.833239426015448,0.47974059075040576
0.65,2.75,8.617381997692506,-0.3771891808164002,8.62563297226817,-15.631772994995117,-0.2687746286392212,7.014390997302611,0.6459638094556214
0.7333333333333334,2.75,3.9207253582246757,-0.589460124993777,3.964788843505249,-12.19917106628418,-0.25152483582496643,8.278445708059504,0.8409849608187434
0.8166666666666667,2.75,-0.09533611443847079,-0.8207124578651024,0.8262311499884295,-9.530067443847656,-0.24554602801799774,9.625403558286127,1.0662584858831001
0.9,2.75,-3.71918685785797,-1.0778008757961621,3.872209396653339,-7.336077690124512,-0.24543794989585876,11.055264547982482,1.323238825692021
0.4,3.0,37.184320180260535,0.24695579113873406,37.18514023680572,-41.20555877685547,-0.47482597827911377,4.0212385965949355,0.2278701871403797
0.48333333333333334,3.0,25.61470292925822,0.005043099190802591,25.614703425708427,-30.72677230834961,-0.3459039628505707,5.112069379091391,0.3408608636597681
0.5666666666666667,3.0,15.98634552180853,-0.21008056491536853,15.98772582284306,-22.276512145996094,-0.26966002583503723,6.290166624187564,0.47974059075040576
0.65,3.0,8.00687334701059,-0.40882625337957157,8.017303767509432,-15.562403678894043,-0.2371375560760498,7.555530331883453,0.6459638094556214
0.7333333333333334,3.0,3.2628323490782662,-0.6173884922508952,3.3207293609319373,-12.170992851257324,-0.2235964685678482,8.908160502179058,0.8409849608187434
0.8166666666666667,3.0,-0.8206065735509416,-0.8459619539674355,1.1785782859510938,-9.527450561523438,-0.22029653191566467,10.348057135074379,1.0662584858831001
0.9,3.0,-4.53051703309017,-1.1015264450443616,4.662504165816072,-7.344703197479248,-0.2217123806476593,11.875220230569418,1.323238825692021
0.4,3.25,36.5253397427913,0.04839391412648125,36.52537180231372,-40.84817123413086,-0.27626410126686096,4.322831491339556,0.2278701871403797
0.48333333333333334,3.25,24.995898622733986,-0.13728900763788698,24.99627564717618,-30.48504638671875,-0.2035718560218811,5.489147763984765,0.3408608636597681
0.5666666666666667,3.25,15.415959690213562,-0.31902778237981555,15.419260419884592,-22.163053512573242,-0.1607128083705902,6.7470938223596795,0.47974059075040576
0.65,3.25,7.423222072427306,-0.5025793975245835,7.440215856236169,-15.519891738891602,-0.1433844119310379,8.096669666464296,0.6459638094556214
0.7333333333333334,3.25,2.6190327389797066,-0.7033436352257487,2.7118305177610407,-12.15690803527832,-0.1376413255929947,9.537875296298614,0.8409849608187434
0.8166666666666667,3.25,-1.53917174854476,-0.9288081633742882,1.797702499266509,-9.531538963317871,-0.13745032250881195,11.070710711862631,1.0662584858831001
0.9,3.25,-5.338933733285749,-1.1833453832996716,5.46850251024841,-7.3562421798706055,-0.13989344239234924,12.695175913156355,1.323238825692021
